                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.82941,                0.53577,                      0,                0.91208,                0.55414,                      0,                0.55544,                0.44627,                0.54335,                0.36039,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007426,              0.0007426,              0.0007426
                     29,                0.79943,                0.52352,                      0,                0.88437,                0.53186,                      0,                0.78257,                0.46068,                0.59503,                0.37831,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007327,              0.0007327,              0.0007327
                     30,                0.76233,                0.50683,                      0,                0.84751,                0.51845,                      0,                0.47987,                0.55051,                0.55193,                 0.3756,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007228,              0.0007228,              0.0007228
                     31,                0.75362,                0.49939,                      0,                0.84268,                0.51609,                      0,                0.59772,                0.53958,                0.58194,                 0.4202,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007129,              0.0007129,              0.0007129
                     32,                0.74803,                0.48802,                      0,                0.82791,                0.49122,                      0,                0.64254,                0.48185,                0.55842,                0.36663,                      0,                      0,                      0,                      0,                      0,                      0,               0.000703,               0.000703,               0.000703
                     33,                0.75215,                0.49984,                      0,                0.83709,                0.49802,                      0,                 0.6786,                0.45009,                0.51893,                 0.3287,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006931,              0.0006931,              0.0006931
                     34,                  0.737,                0.50125,                      0,                0.81898,                0.50319,                      0,                 0.5548,                0.55399,                0.57675,                0.37172,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006832,              0.0006832,              0.0006832
                     35,                0.70233,                0.47134,                      0,                0.77555,                0.46926,                      0,                0.61961,                0.44957,                0.55358,                0.36202,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006733,              0.0006733,              0.0006733
                     36,                0.71948,                 0.4903,                      0,                0.80819,                0.49839,                      0,                0.60892,                0.54255,                0.56542,                0.34925,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006634,              0.0006634,              0.0006634
                     37,                0.69307,                0.46695,                      0,                0.78324,                 0.4677,                      0,                0.63184,                0.46901,                0.57624,                0.39585,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006535,              0.0006535,              0.0006535
                     38,                0.71157,                0.47927,                      0,                0.78216,                0.47791,                      0,                0.59459,                0.49166,                0.58199,                0.40059,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006436,              0.0006436,              0.0006436
                     39,                 0.7498,                0.49432,                      0,                0.83604,                0.48132,                      0,                0.58282,                0.51531,                0.60464,                0.38052,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006337,              0.0006337,              0.0006337
                     40,                0.75408,                0.49179,                      0,                0.82698,                0.47979,                      0,                0.60296,                0.47906,                0.51817,                0.35206,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006238,              0.0006238,              0.0006238
                     41,                0.70829,                0.46613,                      0,                0.78706,                 0.4598,                      0,                0.69205,                   0.52,                0.62578,                0.40545,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006139,              0.0006139,              0.0006139
                     42,                0.68609,                0.46502,                      0,                0.76841,                0.46443,                      0,                0.67807,                0.52489,                0.61185,                0.40507,                      0,                      0,                      0,                      0,                      0,                      0,               0.000604,               0.000604,               0.000604
                     43,                 0.6729,                0.45104,                      0,                0.75092,                0.44633,                      0,                0.62815,                0.49557,                0.62712,                0.38234,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005941,              0.0005941,              0.0005941
                     44,                0.71006,                 0.4615,                      0,                0.77186,                0.44287,                      0,                0.66024,                0.57595,                0.64132,                0.42319,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005842,              0.0005842,              0.0005842
                     45,                 0.6724,                0.45057,                      0,                0.76203,                 0.4414,                      0,                0.65852,                0.53505,                0.58989,                0.42518,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005743,              0.0005743,              0.0005743
                     46,                0.65184,                0.43256,                      0,                0.72338,                0.41676,                      0,                0.64234,                 0.5214,                0.59281,                0.40366,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005644,              0.0005644,              0.0005644
                     47,                0.63702,                0.42721,                      0,                0.70986,                0.40886,                      0,                0.61703,                0.57533,                0.60045,                0.40286,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005545,              0.0005545,              0.0005545
                     48,                0.63742,                0.42541,                      0,                0.70283,                 0.4014,                      0,                0.56682,                0.66912,                0.60134,                 0.4174,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005446,              0.0005446,              0.0005446
                     49,                0.65396,                 0.4311,                      0,                0.72958,                0.42182,                      0,                0.64764,                 0.5202,                0.56592,                0.39336,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005347,              0.0005347,              0.0005347
